sentence;food;service;price;place;other
tempat ini cocok untuk dinikmati anak muda  . ;-;-;-;positive;-
walaupun tempat saya lihat ada juga orang paruh baya berkunjung .;-;-;-;positive;
musiknya jangan terlalu keras supaya orang tetap bisa ngobrol dengan nyaman  . ;-;-;-;negative;-
tempat yang nyaman dan santai untuk sarapan  . ;-;-;-;positive;-
menu sarapan bermacam-bermacam saya mencoba big sarapan dan pulled pork  ( iya  . ;positive;-;-;-;-
menu disini banyak yang memakai pork  ) rasanya enak dengan porsi yang besar  . ;positive;-;-;-;-
kopinya juga enak   , mencoba cappucino dan long black  . ;positive;-;-;-;-
oke banget  . ;-;-;-;-;-
waw   , pas disuguhin menu   , cukup mahal  . ;-;-;-;-;-
saat itu jam makan siang   , tempat relatif sepi   , kayaknya ramenya pas malam atau pas malam minggu  . ;-;-;-;positive;-
pelayanan cukup memuaskan meski menunggu cukup lama   , suasana berbau alam   , segar   , sejuk dan romantis jika pergi berdua saja dan menghabiskan malam disini  . ;-;positive;-;positive;-
tempat parkir oke  . ;-;-;-;positive;-
tempat ini sebenarnya cukup baik  . ;-;-;-;positive;-
makanan enak .;positive;-;-;-;-
namun dengan harga yang relatif lebih mahal  . ;-;-;negative;-;-
cari parkir susah  . ;-;-;-;negative;-
saat weekend ada live music yang menurut saya justru mengganggu kenyamanan kita   , karena suaranya yang terlalu kencang sehingga kita tidak bisa mengobrol dan menikmati makanan dengan tenang  . ;-;-;-;negative;-
pemandangan mantap   ,   , lesehan nyaman  . ;-;-;-;positive;-
makanan luar biasa  :  ) pelayanan bagus   ,   , kebersihannya juga baik  . ;positive;positive;-;positive;-
suasana alam segar banget  . ;-;-;-;positive;-
positif  : tempatnya bagus dan nyaman   , makanan-nya enak   , complimentary air putih   , ada live musicnegatif  : tamu bisa jadi penyanyi saat live music bila lebih dari 1 lagu   , jadinya tidak menghibur  . ;positive;-;-;positive;-
tempatnya nyaman   , padahal lokasinya ditengah kota di area yang biasanya cukup padat  . ;-;-;-;positive;-
tetapi anda dapat menemukan tempat yang desainnya serasa kembali ke alam;-;-;-;positive;-
makanan tidak ada yang terlalu istimewa dari segi rasa  . ;negative;-;-;-;-
makanan masih bisa diterima;positive;-;-;-;-
pada kunjungan sebelumnya   , saya tidak berkesempatan makan di restoran ini karena penuh  . ;-;-;-;negative;-
t bone steak tidak terlalu enak   , dagingnya agak keras  . ;negative;-;-;-;-
nasi gorengnya enak   , dan saya baru tahu bahwa nasi gorengnya adalah salah satu yang terbaik di bandung  . ;positive;-;-;-;-
anda perlu ketahui bahwa mungkin harganya terlihat mahal  . ;-;-;negative;-;-
namun porsi yang disajikan sangat besar dan cukup untuk sharing .;positive;-;-;-;-
pelayanannya sangat baik  . ;-;positive;-;-;-
restoran ini sangat disarankan   , terutama nasi gorengnya  . ;positive;-;-;positive;-
ini merupakan restoran legedaris di bandung dan terletak di kawasan braga yang cukup terkenal di bandung  . ;-;-;-;positive;-
saya menikmati cheese kue lezat disini ditemani oleh coffelatte hangat sambil menunggu hujan reda  . ;positive;-;-;-;-
meskipun furniturnya terkesan jaman dulu  . ;-;-;-;negative;-
namun restoran ini selalu menarik untuk saya kunjungi karena suasananya yang hangat dan pelayannya yang ramah   , serta tentu saja makanannya yang enak .;positive;positive;-;positive;-
pastikan anda datang ke restoran ini beramai-ramai karena porsi makanannya besar  . ;positive;-;-;-;-
harga cukup terjangkau  . ;-;-;positive;-;-
pilihan menunya juga banyak  . ;positive;-;-;-;-
berada persis di depan braga citi walk   , restoran ini ramai di malam hari  . ;-;-;-;negative;-
restoran ini mengangkat tema vintage   , salah satu keunggulan adalah live music yang menurut saya asyik   , serasa di bawa ke bandung tempo dulu  . ;-;-;-;positive;-
pilihan menu sangat variatif  : mulai dari italian   , mexican   , indonesian   , dllkami mencoba order pizza  ( yang sangat enak  )   , lasagna  ( lezat dan mengenyangkan  )   , mie goreng kepiting  ( porsi besar dan enakk  )   , lidah  ( beef tongue - 2 potong dengan rasa sangat nostalgic  )   , dan makanan penutupnya choclava dan choc sufflw sangat sedap  . ;positive;-;-;-;-
braga permai merupakan restoran yang masih menjadi primadona di jalan braga  . ;-;-;-;positive;-
suasana di sana memang juara  . ;-;-;-;positive;-
makan di bawah payung-payung merah dan besar   , bercahaya temaram dari lampu jalan braga dan semilir angin sejuk bandung di malam hari   , begitu mengesankan  . ;-;-;-;positive;-
live musik ada setiap hari   , anda bisa request lagu-lagu kesukaan anda  ( bandnya juga bagus-bagus selalu  )  . ;-;-;-;positive;-
untuk makanannya banyak pilihannya   , menu eropa   , chinese   , dan indonesia  . ;positive;-;-;-;-
terakhir saya ke sana agustus 2015 saya mencoba fillet ikan kakap  ( saya lupa nama menunya  ) piring besar   , isi juga besar  . ;positive;-;-;-;-
pizza juga enak  . ;positive;-;-;-;-
rasa enak   , porsi besar   , suasana juara  . ;positive;-;-;positive;-
tetapi harga murah .;-;-;positive;-;-
jangan lupa coba ice cream yang populer itu  . ;positive;-;-;-;-
kesukaan saya ice cream rum raisin  . ;positive;-;-;-;-
mantab untuk makanan penutup yang dingin . ;negative;-;-;-;-
makanan penutup menghangatkan di tengah sejuknya paris van java  .;positive;-;-;-;-
saya datang untuk pertama kalinya ke restoran ini   , nuasanya nyaman   , ramah   , dan pelayannya berpakaian jaman dulu  . ;-;-;-;positive;-
semuanya enak tetapi datang cukup lama dari jarak memesan sehingga makanan datang  . ;-;-;-;-;-
tempat ini tepat bagi anda yang ingin melihat kesibukan di jalan braga dengan menu yang mengenyangkan  . ;-;-;-;-;-
dan ternyata memang enak apalagi jika anda memilih tempat duduk di luar  . ;-;-;-;-;-
saat itu   , mereka memberikan gratis snack berupa cheese stick dan garlic bread   , yang menurut saya agak keras  . ;negative;-;-;-;-
bitter ballen enak   , lainnya tidak spesial  . ;positive;-;-;-;
harganya sedikit mahal saya bought the suasana  . ;-;-;negative;-;-
pelayanannya cukup cepat  . ;-;positive;-;-;-
tiap hari ramai banyak di kunjungi para tamu  . ;-;-;-;-;-
makan dan minuman umum okok lah  . ;negative;-;-;-;-
dusun bambu memiliki rumah pohon yang menjadi iconic  . ;-;-;-;positive;-
makanan yang disajikan cukup beragam   , jangan lupa nikmati kue balok original disini karena rasanya sangat enak  . ;positive;-;-;-;-
kalau makan di restonya burangrang   , makanan bervariasi   , western   , asian   , indonesia dengan tampilan menarik namun harga yang lebih mahal daripada di foodcourtnya  . ;positive;-;negative;-;-
konsepnya sangat unik dengan lahan terbuka private area sekitar 100m-100m dan tenda eiger sekitar 15m-15m  ( didalam tenda ada telepon untuk room pelayanan 24 jam  )  . ;-;-;-;positive;-
malam ada gratis jagung bakar  ( langsung dibakar di private area kita oleh buttler  ) dan gratis snack dan gratis buah segar  . ;positive;-;-;-;-
diluar makan buffet saya juga memesan nasi goreng dusun bambu yang khas digoreng dengan ebi  . ;positive;-;-;-;-
secara keseluruhan untuk rasa cukup baik  . ;positive;-;-;-;-
suasana sekitar dusun bambu diwaktu malam juga sangat eksotis dan romantis  . ;-;-;-;positive;-
cocok buat pengantin baru ini  . ;-;-;-;-;-
pemandangan super sekali  . ;-;-;-;positive;-
 ) cuaca sangat dingin sekali  . ;-;-;-;positive;-
sarapan kembali di caf burangrang cukup baik  . ;positive;-;-;-;-
hidangan khas sunda menjadi yang utama di buffet  . ;-;-;-;-;-
pencuci mulut redaksi velvet kue cukup enak  . ;positive;-;-;-;-
pemandangan pagi juga luar biasa indah  . ;-;-;-;positive;-
untuk outdoor activity sangat banyak pilihan  . ;-;-;-;positive;-
dari naik perahu sampai hanya sekedar berjalan-jalan di sekitar area yang sangat asri dan indah  . ;-;-;-;positive;-
secara keseluruhan pelayanan cukup baik  . ;-;positive;-;-;-
pemandangan sangat duper mantap  . ;-;-;-;positive;-
buat yang hobi fotografi sepertinya sangat cocok  . ;-;-;-;-;-
udara bersih dan sejuk  . ;-;-;-;positive;-
dingin gila diwaktu subuh terutama  . ;-;-;-;-;-
 :  ) makanan terutama hidangan sunda cukup enak  . ;positive;-;-;-;-
harga pantas  . ;-;-;positive;-;-
tempatnya nyaman tenang dan enak  . ;-;-;-;positive;-
suasana adem   , asri bikin betah berlama-lama disana  . ;-;-;-;positive;-
anginnya enak banget buat bersantai sampai seusai makan duduk di sofa restaurantnya saya terlelap tidup beberapa menit sambil memandang danau kecil yang indah  . ;-;-;-;positive;-
tidak terlalu jauh dari lembang terletak di jalan kolonel masturi dilalui oleh kendaraan umum   , suasana khas pegunungan sangat sejuk   , tersedia berbagai menu makanan dan toko- toko   , juga bisa menikmati pemandangan persawahan  . ;-;-;-;positive;-
tempat cocok untuk bersantai  .;-;-;-;positive;-
tempat pada saat weekend pengunjung sangat padat  . ;-;-;-;negative;-
tempat parkir selalu penuh dan sangat berdebu pada saat kemarau  . ;-;-;-;negative;-
makanan yang di jual kurang enak dan mahal  . ;negative;-;-;-;-
makanannya lumayan enak-enak diudara dingin dan banyak variasinya dari mulai restoran burangrang   , saung purbasari dan area foodcourtnya  . ;positive;-;-;-;-
saya dan keluarga sangat senang bisa berkunjung ke dusun bambu  . ;-;-;-;-;-
pemandangannya sangat bagus dengan pemandangan alam yaitu taman   , sungai buatan   , dan bukit-bukit  . ;-;-;-;positive;-
tempatnya sangat luas   , ada playground untuk anak-anak dan area makannya juga banyak  . ;-;-;-;positive;-
meskipun harga-harga makannanya agak mahal  .;-;-;negative;-;-
harga-harga makanannya sebandinglah dengan pemandangan yang diberikan  . ;-;-;negative;-;-
ada jembatan panjang   , ada danau buatan   , sungai buatan dengan air yang mengalir   , taman bunga yang rapi  . ;-;-;-;positive;-
sangat unik dan bagus  . ;-;-;-;-;-
tempat main sekalian tempat makan banyak pilihan   , harus beli voucer dulu   , harga makanannya mahal bingit   , danau buatannya bagus dan suasana romantis  . ;-;-;negative;positive;-
pilihan warna putih dan furniture dari kayu memberikan kesan ruang yabg lapang dari keadaan sesungguhnya suguhan yang dikemas ala eropa memang tidak memberikan pilihan menu lain  . ;-;-;-;-;-
makanan dan hidangan minuman dikemas enak dipandang sebelum lezat dicicipi  . ;positive;-;-;-;-
tempatnya cukup nyaman   ,   , makanannya enak   , harganya wajar   ,   , tempatnya sering penuh   , maka siapkan waktu untuk daftar tunggu  . ;positive;-;negative;positive;-
kesan pertama  : parkir mobilnya sempit  .;-;-;-;negative;-
parkir mobilnya tidak mengapa   , bisa parkir di sisi jalan progo  . ;-;-;-;negative;-
interior meja-meja kayunya berkesan natural   , ada lokasi makan di luar juga  . ;-;-;-;positive;-
makanan oke   , setimpal sesuai harga   , cocok untuk kumpul bareng teman atau belajar jelang ujian  . ;positive;-;negative;-;-
makanannya enak-enak .;positive;-;-;-;-
meski harga lumayan mahal  . ;-;-;negative;-;-
tempatnya bersih   , interiornya keren  . ;-;-;-;positive;-
cocok buat kumpul bareng teman-teman sama teman-teman  . ;-;-;-;-;-
pelayannya ramah dan makanan datangnya cukup cepat  . ;positive;positive;-;-;-
minumannya enak-enak  . ;positive;-;-;-;-
disarankan banget  . ;-;-;-;-;-
makan pagi disini banyak pilihannya  . ;positive;-;-;-;-
sandwich - enak-enak  . ;positive;-;-;-;-
pilihan minumannya juga banyak  . ;positive;-;-;-;-
harga tidak terlalu murah dan parkir selalu penuh  . ;-;-;negative;negative;-
tempat ini sangat nyaman sekali  . ;-;-;-;positive;-
dan pelayan ramah memberikan saya tetap bisa mengorder  . ;-;positive;-;-;-
belum lagi makanan yang menurut saya cukup enak  . ;positive;-;-;-;-
 (  +  ) tempatnya nyaman   , makanan enak   , suasana menyenangkan untuk ngobrol   , disekitarnya banyak tempat makan dan kumpul-kumpul juga  ( -  ) parkir mobil susah   , makanan relatif agak mahal  . ;positive;-;-;positive;-
harga dan rasa tidak sesuai   , restoran ini lebih cocok untuk kumpul-kumpul bersama kawan   , sangat tidak cocok bagi penikmat kuliner  . ;negative;-;negative;-;-
lokasi strategis   , tidak terlalu bising karena bukan di jalan utama  . ;-;-;-;positive;-
interior restoran cukup menarik  . ;-;-;-;positive;-
pelayannya cukup baik  . ;-;positive;-;-;-
namun kalau weekend lumayan penuh jadi penyajian butuh waktu dan untuk rasa cukup baik  . ;positive;-;-;-;-
ini restoran sudah tempat wajib saya kalau ke bandung kalau ingin makan enak nan cantik  . ;positive;-;-;-;-
interiornya lucu   , seru buat kumpul-kumpul   , makan minum enak harga pantas  . ;positive;-;positive;positive;-
walau untuk ukuran bandung mungkin terbilang agak mahal  . ;-;-;-;-;-
cobain wild mushroom soup   , jamur dan cream soup enak banget  . ;positive;-;-;-;-
fave saya tentu saja alexandra crepes lengkap ada daging   , telur   , tumis jamurnya yang gurih  . ;positive;-;-;-;-
rasanya top  . ;positive;-;-;-;-
kalau soal minum   , variasi kopi enak   , dari tiramisu kopi blend   , nutty frappe sampai variasi tehnya tidak mengecewakan  . ;positive;-;-;-;-
menurut saya   , kualitas makanan di sini biasa saja   , over price bahkan  . ;negative;-;-;-;-
sebuah tempat makan yang luar biasa indahnya  . ;-;-;-;positive;-
tetapi menunya sangat biasa saja dan harganya lumayan mahal  . ;negative;-;negative;-;-
konsep tempat makan ini benar benar bagus  . ;-;-;-;positive;-
pas buat yang suka foto foto  . ;-;-;-;positive;-
makanannya standar masakan sunda kebanyakn  . ;negative;-;-;-;-
tetapi ayamnya enak  . ;positive;-;-;-;-
tempatnya asyik  . ;-;-;-;positive;-
tempat makan oke banget  . ;-;-;-;positive;-
hanya antrinya lama  . ;-;negative;-;-;-
harga makanan lumayan mahal  . ;-;-;negative;-;-
udaranya dingin ditemani oleh kabut dan hujan rintik-rintik  . ;-;-;-;positive;-
~ jarak tidak terlalu jauh~ makanannya enak dan penyajiannya cepat  ( penting banget kalau yang sudah laper di jalan  ) ~ luas banget tempatnya   , untuk sampai ke gubuk agak menanjak jadi lumayan kehabisan nafas  .;positive;positive;-;positive;-
tetapi cuaca dingin   , suara musik angklung   , suara air mengalir bikin capeknya hilang~  . ;-;-;-;negative;-
walaupun cuaca outdoor .;-;-;-;negative;-
tetapi very well organized dan bersih~ yang paling penting harganya tidak semahal yang saya kira  .;-;-;positive;-;-
jauh lebih mahal bandar jakarta  . ;-;-;-;-;-
kampung daun memiliki pemandangan yang bagus dan unik  . ;-;-;-;positive;-
untuk pelayanan saya rasa kurang karena makanan baru keluar sekitar 30 menit  . ;-;negative;-;-;-
untuk rasa makanan sangat standar dengan harga relatif mahal  . ;negative;-;negative;-;-
sangat tidak dianjurkan bagi yang waktunya terbatas dan kelaparan   , sebab anda bisa marah-marah selain harus daftar tunggu   , tunggu pelayan mendatangi saung anda  ( yang lluamma banget sebab jaraknya jauh-jauh  )  . ;-;-;-;-;-
di kampung daun   , selain makanannya yang enak kita juga dapat menikmati keindahan alam dan kampung sunda  . ;positive;-;-;positive;-
luangkan waktu yang cukup untuk bersantai di bale-bale sambil menikmati hidangan khas sunda yang nikmat  . ;positive;-;-;-;-
makan di saung-saung di bawah pepohonan yang rindang dengan suasana sejuk   , rasa makanan lumayan enak   , kualitas dan pelayanan cukup baik  . ;positive;positive;-;positive;-
disarankan  . ;-;-;-;-;-
kampung daun   , lokasinya tidak berjauhan dengan the peak   , cm konsepnya sangat berbeda   , kampung daun menyediakan pondok-pondok bagi tamu  / pengunjung yang akan menikmati sajian di lingkungan yang sangat asri di sepanjang area kepemilikan restoran kampung daun   , disini menyediakan makanan  / masakan jenis sundanis  ! ;-;-;-;positive;-
porsi makanan disini sangat sekali   , banyak dan enak  . ;positive;-;-;-;-
untuk porsi sebanyak itu   , harga cukup terjangkau  . ;positive;-;positive;-;-
makanannya banyak daging   , wajib coba steaknya  :  )  . ;positive;-;-;-;-
pertama datang   , daftar tunggu   , dan agak ribet sistemnya   , dan pelayannya agak judes   , mungkin karena ramai banget  . ;-;negative;-;-;-
tempatnya sempit banget   , sbnrnya interiornya menarik .;-;-;-;negative;-
interiornya karena merek mgkin mau muat banyak   , jadi sempit kaya warung tegal  . ;-;-;-;negative;
mood agak bosan di awal  . ;-;-;-;negative;-
mereka suguhin makanan western   , which is makanannya sih enak  . ;positive;-;-;-;-
tetapi cuma di enak tidak pakai banget  . ;-;-;-;-;-
yang ane suka itu porsinya banyak dan murah  . ;positive;-;-;-;-
termasuk murah dibanding harga di jakarta yah  . ;-;-;-;-;-
disini ada burger dan pizza sangat besar juga  . ;positive;-;-;-;-
porsinya banyak banget  . ;positive;-;-;-;-
additional dish beef cordon bleu   , ane curious saja pgn tahu   , karena biasanya chicken  .;negative;-;-;-;-
beef cordon bleu tidak enak ternyata  . ;negative;-;-;-;-
drinks mojito enak  . ;positive;-;-;-;-
steaknya ukuran besar   , rasanya lumayan enak sih   , dan harganya terjangkau banget men  ! ;positive;-;positive;-;-
untuk saus steaknya paling suka sama yang lada hitam   , terus kentangnya mashpotato .;positive;-;-;-;-
mashpotato sering keabisan sedih  . ;negative;-;-;-;-
ribs juga disarankan  ! ;positive;-;-;-;-
suka kesini kalau ke bandung karena tempatnya juga enak buat kumpul-kumpul sama temen-temen  . ;-;-;-;positive;-
lucunya diresto ini menu makanannya ukuran big size  . ;positive;-;-;-;-
pizza jumbo steak jumbo burger jumbo hotdog jumbo  . ;positive;-;-;-;-
tampilan mengagetkan lucu juga untuk hiburan untuk tastenya steaknya enak .;positive;-;-;-;-
tetapi kalau pizza kurang enak  . ;negative;-;-;-;-
desain restoran ini menarik sesuai dengan namanya   , pilihan menunya cukup banyak  . ;positive;-;-;positive;-
waktu itu kami coba macam-macam   , sirloin   , sosis   , tenderloin   , dan lain-lain   , secara keseluruhan rasanya lumayan enak .;positive;-;-;-;-
rasanya tidak ada yang spesial  . ;negative;-;-;-;-
selain itu   , tempat ini juga jadi salah satu kuliner utama para turis paruh baya bahkan keluarga dengan banyak anggota  . ;-;-;-;positive;-
tempat ini terkenal dengan menu makanan yang porsinya besar namun harganya terjangkau  . ;positive;-;positive;-;-
menu kesukaan saya untuk rombongan adalah monster steak dan monster sosis dengan harga rp 200  . 000   , 00 - rp 300  . 000   , 00 dengan minuman yang bisa beramai pula seperti jungle punch dan gorilla punch dengan kisaran harga rp 35  . 000   , 00 - rp 40  . 000   , 00.tempat ini juga mudah dijangkau dengan angkot dari daerah dago maupun jalan merdeka  . ;positive;-;-;-;-
walau begitu   , disarankan untuk tidak membawa kendaraan pribadi jika tidak beramai-ramai karena parkir di tempat ini cukup terbatas  . ;-;-;-;negative;-
rasanya enak   , variasi steaknya juga banyak  . ;positive;-;-;-;-
banyak wisatawan lokal maupun dari luar kota makan disana baik siang maupun sore atau malam sehingga penuh dan sering daftar tunggu  . ;-;-;-;-;-
suasana juga bagus dan enak makanannya serta pelayanan yang cepat  . ;positive;positive;-;positive;-
selain menawarkan menu steak seperti kebanyakan   , karnivor juga menawarkan menu dengan ukuran jumbo   , seperti giant sausage  ( sausage dengan panjang hampir 1 m  ) tower steak  ( steak besar hampir 1 kg  ) atau monster pizza  ( pizzanya gede banget dan tidak bulat tetapi square  )  . ;-;-;-;-;-
jadi pesan 1 bisa buat banyakan   , sudah beberapa kali saya ke karnivor   , terakhir saya coba menu t - bone steak   , sebenernya agak kecewa karena dagingnya yang dingin dan seperti sudah di stock  ( jadi tidak segar grilled  )  . ;negative;-;-;-;-
tetapi over all selama sampai saat ini karnivor cukup memuaskan  . ;-;-;-;positive;-
apalagi harganya yang tidak terlalu mahal  . ;-;-;positive;-;-
restoran ini salah satu kesukaan saya tiap berkunjung ke bandung  . ;-;-;-;positive;-
steaknya beragam   , kentang juga disajikan dalam berbagai pilihan  . ;positive;-;-;-;-
kesukaan saya mixed grill steak   , bisa ngerasain smuanya  . ;positive;-;-;-;-
sosisnya enak   , padahal saya bukan penggemar sosis  . ;positive;-;-;-;-
potato chipsnya enak  . ;positive;-;-;-;-
potato wedgesnya juga oke  . ;positive;-;-;-;-
porsinya pas untuk satu orang dewasa  . ;positive;-;-;-;-
sayang tidak disajikan di hot pelate   , jadi cepat dingin  . ;-;-;-;-;-
pelayanan cepat dan ramah  . ;-;positive;-;-;-
kali ini saya sekeluarga beserta teman dan teman-temannya mengunjungi karnivorseru   , ramai  . ;-;-;-;-;-
pizzanya tipis   , crunchy dengan potongan daging  . ;positive;-;-;-;-
enak ribs  . ;positive;-;-;-;-
sangat berlemak  . ;-;-;-;-;-
suasana rumah banget asli  ! ;-;-;-;positive;-
tempatnya enak banget kalau buat santai bareng keluarga   , kumpul-kumpul sama teman ngemil-ngemil ganteng cantik disarankan  ! ;-;-;-;positive;-
makanan enak enak mengapa .;positive;-;-;-;-
tetapi sayang ini pelayanannya lama .;-;negative;-;-;-
pelayannya sambil menunggu makanan datang biar tidak bosen foto-foto  ! ;-;negative;-;-;-
bagus pemandangan banget  . ;-;-;-;positive;-
wow  . ;-;-;-;-;-
baguss  !  !  ! tempatnyaa romantis  . ;-;-;-;positive;-
viewnyaa pemandangan kota bandung untuk harga makanan trmasuk standar  . ;-;-;positive;-;-
tidak begitu mahal dan tidak terlalu murah juga untuk cita rasaa  . ;-;-;-;-;-
lumayan enak kalau saya ke bandung lagi  . ;-;-;-;-;-
ketika kami disuguhi menunya   , ternyata harganya membuat kami terpukau   , mahal  ( bagi saya lho  )  . ;-;-;negative;-;-
tetapi memang suasana di sini membuat restoran ini beda  . ;-;-;-;positive;-
untuk makanan   , spaghetinya enak  . ;positive;-;-;-;-
maja house menyediakan pemandangan makanan yang cukup bervariasi  . ;positive;-;-;positive;-
minuman juga cukup lengkap   , dari yang dingin smp minuman hangat  . ;positive;-;-;-;-
lokasinya yang cukup tinggi memberikan pemandangan yang tidak terlupakan  . ;-;-;-;positive;-
karena letaknya yang tinggi   , pemandangan restoran ini juara sekali  . ;-;-;-;positive;-
desain restorannya juga bagus dan sangat anak muda  . ;-;-;-;positive;-
untuk mengobrol lama bersama teman di restoran ini sangat enak  . ;-;-;-;positive;-
menu yang tersedia pilihannya lengkap dari indonesia sampai western  . ;positive;-;-;-;-
namun dari segi rasa biasa saja  . ;negative;-;-;-;-
pelayanannya juga agak lama dan kurang responsif  . ;-;negative;-;-;-
maja house cukup asyik  meskipun makanan dan minuman mahal .;negative;-;-;-;-
namun suasana cafe sungguh menarik  .  ;-;-;-;positive;-
di maja house   , hati-hati ketika malam sangat dingin karena angin berhembus cukup kencang  . ;-;-;-;negative;-
datang menunggu sunset adalah pilihan yang tepat untuk maja house   , selain itu tersedia hotel di sampingnya   , konsepnya yang unik dengan makan di atas tempat tidur sangat unik  . ;-;-;-;positive;-
tempatnya mudah dijangkau  . ;-;-;-;positive;-
dekorasinya cukup simpel dan hommy sehingga sangat nyaman untuk berkumpul bersama teman-teman  . ;-;-;-;positive;-
restoran ini sangat menonjolkan pemandangan yang bagus  . ;-;-;-;positive;-
untuk makanannya sendiri biasa saja .;negative;-;-;-;-
makanan tetap enak  . ;positive;-;-;-;-
tempatnya asyik  . ;-;-;-;positive;-
duduk-duduk manis sambil minum wine melihat pemandangan gunung di udara dingin bandung dengan musik dari dj  . ;-;-;-;positive;-
makanannya enak-enak  . ;positive;-;-;-;-
kalau weekend ramai bingitz dan semakin larut semakin penuh  . ;-;-;-;-;-
saya ke sana makan malam bersama keluarga anak 5 dan 11 tahun   , pelayanan disana cepat   , dan pemandangan yang bagus  . ;-;positive;-;positive;-
saya pesan pasta lazange dan macroni rasa menurut saya biasa karena 2 menu tersebut kesukaan keluarga harga rata ratalah   , suasana temaram sekali dan banyak pasangan muda mudi terutama di out door mengunakan matras kurang enak kalau membawa anak kecil  . ;negative;-;negative;negative;-
tempat yang menyenangkan   , homie   , tenang   , sejuk dan menyajikan makanan yang enak  . ;positive;-;-;positive;-
cocok untuk makan-makan dengan keluarga   , layak untuk dicoba  . ;-;-;-;-;-
lokasi ini cukup unik   , saya dan keluarga memilih untuk makan di rumah kaca miss bee providore  . ;-;-;-;positive;-
pelayanan sangat baik  . ;-;positive;-;-;-
yang kurang dari tempat ini hanyalah rasa   , menurut saya rasa makanan ditempat ini kurang kuat seperti black pepper dan salt dan rempah  . ;negative;-;-;-;-
tempat makan yang nyaman   , dengan playground indoor outdoor   , makanannya harganya standar cafe .;-;-;negative;positive;-
tetapi dengan kualitas dan rasa yang memuaskan  ^  ^  . ;positive;-;-;-;-
lokasi cafe ini di daerah bandung utara jadi hawa cukup menyegarkan  . ;-;-;-;positive;-
yang unik dari cafe ini desain tempat makan yang asalnya rumah tinggal dirubah jadi cafe jadi terasa nyaman seperti dirumah  . ;-;-;-;positive;-
makanan cukup enak-enak banyak variasinya   , apalagi makanan penutup cukup untuk menggugah selera ingin makan terus  . ;positive;-;-;-;-
berkunjung pada hari senin siang   , sangat sepi dan bersyukur karena belakangan kami tahu bahwa tempat makan ini selalu ramai  ( mungkin pada malam hari  )  . ;-;-;-;positive;-
waktu penyajian cepat  ( mungkin karena sepi  ) dan kualitas makanan kami rasa baik   , unsur keju di kedua makanan terasa sekali di mulut ditambah lingkungan tempat makan yang  ( sepertinya  ) memiliki beberapa tema menambah suasana santai  . ;positive;positive;-;positive;-
rasa dari makanan lumayan .;positive;-;-;-;-
rasa tidak istimewa   , fasilitas bermain untuk anak merupakan kelebihan paling menonjol dari restoran ini   , sedangkan untuk harga terjangkau  . ;negative;-;positive;positive;-
sering penuh  . ;-;-;-;-;-
harga agak mahal dan rasa lumayan lah  . ;negative;-;negative;-;-
miss bee providore telah menjadi tempat makan kesukaan keluarga saya   , dan anak-anak saya sangat menikmati fasilitas bermain anak di tempat ini  . ;-;-;-;positive;-
makanan yang dihidangkan juga nikmat dan suasana sangat mendukung untuk berkumpul bersama dengan keluarga dan siapa saja  . ;positive;-;-;positive;-
letak restoran miss bee ini memang agak jauh dari pusat kota di bandung   .;-;-;-;negative;-
tetapi tidak mengurangi alasan untuk ke tempat ini   , karena restoran ini benar-benar bagus untuk dikunjungi   , apalagi bisa mengajak keluarga untuk ke tempat ini   , di mana restoran ini menyediakan area playground untuk anak-anak dan juga menurut saya didesain cukup bagus dan menarik  . ;-;-;-;positive;-
untuk makanan cukup banyak ragamnya   , mulai dari masakan western   , jepang sehingga indonesia   , dan rata-rata rasanya enak semua   , termasuk minuman dan makanan penutup yang cukup menarik  . ;positive;-;-;-;-
untuk harga memang cukup mahal   .;-;-;negative;-;-
harga tidak mahal sekali  . ;-;-;negative;-;-
pelayanan juga bagus dan cepat  . ;-;positive;-;-;-
secara keseluruhan bagus disarankan restoran with bagus playground   , dekorasi makanan  . ;-;-;-;positive;-
great place to chillax bagus makanan  . ;positive;-;-;positive;-
udaranya segar dan pelayannya ramah-ramah  . ;-;positive;-;positive;-
disarankan  ! ;-;-;-;-;-
tips  : datang sebelum jam makan karena tempatnya penuh terus atau kalau bisa booking dulu  . ;-;-;-;negative;-
restoran yang cukup besar dan nyaman   , memiliki dua 2 lantai  . ;-;-;-;positive;-
tempat makan bervariasi ada saung   , kursi dan lesehan trdapat banyak kolam ikan  . ;-;-;-;positive;-
makanan yang di sajikan sangat beragam   , dan khas sunda makanannya tidak manis-manis  . ;positive;-;-;-;-
dan pelayanannya sangat ramah  . ;-;positive;-;-;-
restorannya sangat bersih dan apik   , kita makan diiringi alunan angklung digital  . ;-;-;-;positive;-
makanannya enak-enak dan harganya sesuai dengan fasilitas yang disediakan  . ;positive;-;positive;-;-
suasananya cukup tenang  . ;-;-;-;positive;-
makanan yang kami pesan adalah menu set yang cukup variatif dan rasanya enak  . ;positive;-;-;-;-
selain itu   , harganya cukup sesuai dengan porsi makanan yang diberikan  . ;positive;-;positive;-;-
pelayanan cukup cepat dan bagus  . ;-;positive;-;-;-
secara keseluruhan saya merekomendasikan restoran ini  . ;-;-;-;positive;-
makanannya enak dan suasana yang enak pula   , kami duduk berlesehan yang terletak di lantai 2  . ;positive;-;-;positive;-
tempat ini disarankan sekali  . ;-;-;-;positive;-
